RunDate,RunOrder,Sample,AnthoWell,Label_ID,Plot,Block,Entry,Name,Harvest_Date,Brix,Notes,Mass(g),InitialTitro,CorrectedTitro,Titro1,Titro2,Brix1,Brix2,Brix3,Antho
20240819,1,1,A01,"1335,1,Aliso,20240515",1335,1,56S115P011,Aliso,20240515,11.13333333,,5,0.715,0.715,0.73,0.7,11.3,11,11.1,
20240819,2,2,B01,"1419,1,,20240515",1419,1,18.13-109,,20240515,9.133333333,,5,0.735,0.735,0.73,0.74,9.2,9.2,9,
20240819,3,3,C01,"1080,1,19B032P031,20240515",1080,1,19B032P031,19B032P031,20240515,8.166666667,,5,0.63,0.63,0.64,0.62,8.4,7.9,8.2,
20240819,4,4,D01,"1106,1,12C098P001,20240515",1106,1,12C098P001,12C098P001,20240515,7.166666667,,5,0.51,0.51,0.52,0.5,7.3,7.1,7.1,
20240819,5,5,E01,"1176,1,UC_Surfline,20240515",1176,1,16C555P053,UC_Surfline,20240515,10.2,,5,0.73,0.73,0.73,0.73,10.6,10.1,9.9,
20240819,6,6,F01,"1272,1,12C072P606,20240515",1272,1,12C072P606,12C072P606,20240515,10.26666667,,5,0.67,0.67,0.68,0.66,10.4,10.2,10.2,
20240819,7,7,G01,"1162,1,Weisse_Anasa,20240515",1162,1,PI270464,Weisse_Anasa,20240515,9.9,,5,1.025,1.025,1.02,1.03,10.1,9.8,9.8,
20240819,8,8,H01,"1233,1,20C515P026,20240515",1233,1,20C515P026,20C515P026,20240515,7.366666667,,5,0.64,0.64,0.64,0.64,7.6,7.2,7.3,
20240819,9,9,A02,"1271,1,12C024P614,20240515",1271,1,12C024P614,12C024P614,20240515,7.866666667,,5,0.695,0.695,0.7,0.69,7.9,7.9,7.8,
20240819,10,10,B02,"1120,1,11C180P001,20240515",1120,1,11C180P001,11C180P001,20240515,10.8,,5,0.715,0.715,0.72,0.71,11.1,10.5,10.8,
20240819,11,11,C02,"1342,1,Elsanta,20240515",1342,1,PI551579,Elsanta,20240515,7.733333333,,5,0.585,0.585,0.61,0.56,7.9,7.6,7.7,
20240819,12,12,D02,"1118,1,11C115P003,20240515",1118,1,11C115P003,11C115P003,20240515,8.633333333,,5,0.455,0.455,0.46,0.45,8.7,8.5,8.7,
