"Disease","DatePictureTaken","TrayID","Position","Score","Ryzopus","HarvestDate","BerryLoc","HarvestPeriod","Entry","Block"
"B",20240522,"B027",4,3,NA,"20240515",2,"Harvest1","FL_10-128","1"
"B",20240522,"B027",5,3,NA,"20240515",2,"Harvest1","FL_10-128","1"
"B",20240522,"B027",7,4,NA,"20240515",3,"Harvest1","64C028P018_16x","1"
"B",20240522,"B027",8,5,NA,"20240515",3,"Harvest1","64C028P018_16x","1"
"B",20240522,"B027",9,5,NA,"20240515",3,"Harvest1","64C028P018_16x","1"
"B",20240522,"B027",10,5,NA,"20240515",4,"Harvest1","19C155P035","1"
"B",20240522,"B027",11,4,NA,"20240515",4,"Harvest1","19C155P035","1"
"B",20240522,"B027",12,4,NA,"20240515",4,"Harvest1","19C155P035","1"
"B",20240522,"B027",13,4,NA,"20240515",5,"Harvest1","64C028P018","1"
"B",20240522,"B027",14,4,NA,"20240515",5,"Harvest1","64C028P018","1"
"B",20240522,"B027",15,4,NA,"20240515",5,"Harvest1","64C028P018","1"
"B",20240522,"B027",16,5,NA,"20240515",6,"Harvest1","PI551757","1"
"B",20240522,"B027",19,4,NA,"20240515",7,"Harvest1","16.33-8","1"
"B",20240522,"B027",20,4,NA,"20240515",7,"Harvest1","16.33-8","1"
"B",20240522,"B027",21,3,NA,"20240515",7,"Harvest1","16.33-8","1"
"B",20240522,"B027",22,4,NA,"20240515",8,"Harvest1","17.34-17","1"
"B",20240522,"B027",23,4,NA,"20240515",8,"Harvest1","17.34-17","1"
"B",20240522,"B027",24,4,NA,"20240515",8,"Harvest1","17.34-17","1"
"B",20240522,"B027",25,2,NA,"20240515",9,"Harvest1","17.20-51","1"
"B",20240522,"B027",26,4,NA,"20240515",9,"Harvest1","17.20-51","1"
"B",20240522,"B027",27,3,NA,"20240515",9,"Harvest1","17.20-51","1"
"B",20240522,"B027",28,4,NA,"20240515",10,"Harvest1","20B251P041","1"
"B",20240522,"B027",29,4,NA,"20240515",10,"Harvest1","20B251P041","1"
"B",20240522,"B027",30,4,NA,"20240515",10,"Harvest1","20B251P041","1"
"B",20240522,"B014",1,3,NA,"20240515",1,"Harvest1","20B298P028","1"
"B",20240522,"B014",2,4,NA,"20240515",1,"Harvest1","20B298P028","1"
"B",20240522,"B014",3,5,NA,"20240515",1,"Harvest1","20B298P028","1"
"B",20240522,"B014",4,3,NA,"20240515",2,"Harvest1","20B357P073","1"
"B",20240522,"B014",5,3,NA,"20240515",2,"Harvest1","20B357P073","1"
"B",20240522,"B014",7,2,NA,"20240515",3,"Harvest1","20C916P020","1"
"B",20240522,"B014",8,5,NA,"20240515",3,"Harvest1","20C916P020","1"
"B",20240522,"B014",9,5,NA,"20240515",3,"Harvest1","20C916P020","1"
"B",20240522,"B014",10,4,NA,"20240515",4,"Harvest1","20C502P036","1"
"B",20240522,"B014",11,3,NA,"20240515",4,"Harvest1","20C502P036","1"
"B",20240522,"B014",16,4,NA,"20240515",6,"Harvest1","77C032P103","1"
"B",20240522,"B014",17,4,NA,"20240515",6,"Harvest1","77C032P103","1"
"B",20240522,"B014",19,4,NA,"20240515",7,"Harvest1","20B258P044","1"
"B",20240522,"B014",22,3,NA,"20240515",8,"Harvest1","18C347P034","1"
"B",20240522,"B014",23,4,NA,"20240515",8,"Harvest1","18C347P034","1"
"B",20240522,"B014",24,3,NA,"20240515",8,"Harvest1","18C347P034","1"
"B",20240522,"B014",28,3,NA,"20240515",10,"Harvest1","18C347P045","1"
"B",20240522,"B014",29,4,NA,"20240515",10,"Harvest1","18C347P045","1"
"B",20240522,"B014",30,4,NA,"20240515",10,"Harvest1","18C347P045","1"
"B",20240522,"B082",1,3,NA,"20240515",1,"Harvest1","20C442P003","1"
"B",20240522,"B082",2,3,NA,"20240515",1,"Harvest1","20C442P003","1"
"B",20240522,"B082",3,4,NA,"20240515",1,"Harvest1","20C442P003","1"
"B",20240522,"B082",7,3,NA,"20240515",3,"Harvest1","08C138P003","1"
"B",20240522,"B082",8,2,NA,"20240515",3,"Harvest1","08C138P003","1"
"B",20240522,"B082",10,5,NA,"20240515",4,"Harvest1","36C003P001","1"
"B",20240522,"B082",13,4,NA,"20240515",5,"Harvest1","36C039P004","1"
"B",20240522,"B082",14,5,NA,"20240515",5,"Harvest1","36C039P004","1"
"B",20240522,"B082",15,4,NA,"20240515",5,"Harvest1","36C039P004","1"
"B",20240522,"B082",16,4,NA,"20240515",6,"Harvest1","PI551919","1"
"B",20240522,"B082",17,5,NA,"20240515",6,"Harvest1","PI551919","1"
"B",20240522,"B082",18,5,NA,"20240515",6,"Harvest1","PI551919","1"
"B",20240522,"B082",22,4,NA,"20240515",8,"Harvest1","19C154P045","1"
"B",20240522,"B082",23,4,NA,"20240515",8,"Harvest1","19C154P045","1"
"B",20240522,"B039",1,3,NA,"20240515",1,"Harvest1","08C132P608","1"
"B",20240522,"B039",2,4,NA,"20240515",1,"Harvest1","08C132P608","1"
"B",20240522,"B039",3,2,NA,"20240515",1,"Harvest1","08C132P608","1"
"B",20240522,"B039",4,5,NA,"20240515",2,"Harvest1","18C862P841","1"
"B",20240522,"B039",7,2,NA,"20240515",3,"Harvest1","10C037P604","1"
"B",20240522,"B039",8,2,NA,"20240515",3,"Harvest1","10C037P604","1"
"B",20240522,"B039",9,2,NA,"20240515",3,"Harvest1","10C037P604","1"
"B",20240522,"B039",10,5,NA,"20240515",4,"Harvest1","18C862P768","1"
"B",20240522,"B039",11,4,NA,"20240515",4,"Harvest1","18C862P768","1"
"B",20240522,"B039",12,4,NA,"20240515",4,"Harvest1","18C862P768","1"
"B",20240522,"B039",13,4,NA,"20240515",5,"Harvest1","18C872P853","1"
"B",20240522,"B039",19,2,NA,"20240515",7,"Harvest1","19C123P011","1"
"B",20240522,"B039",20,2,NA,"20240515",7,"Harvest1","19C123P011","1"
"B",20240522,"B039",21,2,NA,"20240515",7,"Harvest1","19C123P011","1"
"B",20240522,"B039",22,2,NA,"20240515",8,"Harvest1","18C779P035","1"
"B",20240522,"B039",23,2,NA,"20240515",8,"Harvest1","18C779P035","1"
"B",20240522,"B039",24,4,NA,"20240515",8,"Harvest1","18C779P035","1"
"B",20240522,"B039",25,4,NA,"20240515",9,"Harvest1","20C429P029","1"
"B",20240522,"B039",26,4,NA,"20240515",9,"Harvest1","20C429P029","1"
"B",20240522,"B039",27,2,NA,"20240515",9,"Harvest1","20C429P029","1"
"B",20240522,"B039",28,3,NA,"20240515",10,"Harvest1","20C437P001","1"
"B",20240522,"B039",29,3,NA,"20240515",10,"Harvest1","20C437P001","1"
"B",20240522,"B017",1,5,NA,"20240515",1,"Harvest1","12.105-54","1"
"B",20240522,"B017",2,5,NA,"20240515",1,"Harvest1","12.105-54","1"
"B",20240522,"B017",3,5,NA,"20240515",1,"Harvest1","12.105-54","1"
"B",20240522,"B017",4,4,NA,"20240515",2,"Harvest1","12.103-6","1"
"B",20240522,"B017",7,5,NA,"20240515",3,"Harvest1","PI551862","1"
"B",20240522,"B017",8,5,NA,"20240515",3,"Harvest1","PI551862","1"
"B",20240522,"B017",13,4,NA,"20240515",5,"Harvest1","63C120P001","1"
"B",20240522,"B017",14,5,NA,"20240515",5,"Harvest1","63C120P001","1"
"B",20240522,"B017",16,3,NA,"20240515",6,"Harvest1","12.101-59","1"
