"Disease","DatePictureTaken","TrayID","Position","Score","Ryzopus","HarvestDate","BerryLoc","HarvestPeriod","Entry","Block"
"C",20240519,"C027",1,3,NA,"20240515",1,"Harvest1","97C117P003","1"
"C",20240519,"C027",2,4,NA,"20240515",1,"Harvest1","97C117P003","1"
"C",20240519,"C027",4,3,NA,"20240515",2,"Harvest1","19B022P019","1"
"C",20240519,"C027",5,3,NA,"20240515",2,"Harvest1","19B022P019","1"
"C",20240519,"C027",6,3,NA,"20240515",2,"Harvest1","19B022P019","1"
"C",20240519,"C027",10,4,NA,"20240515",4,"Harvest1","19B034P013","1"
"C",20240519,"C027",11,2,NA,"20240515",4,"Harvest1","19B034P013","1"
"C",20240519,"C027",12,3,NA,"20240515",4,"Harvest1","19B034P013","1"
"C",20240519,"C027",13,3,NA,"20240515",5,"Harvest1","19B051P016","1"
"C",20240519,"C027",16,2,NA,"20240515",6,"Harvest1","97C086P001","1"
"C",20240519,"C027",18,3,NA,"20240515",6,"Harvest1","97C086P001","1"
"C",20240519,"C027",19,5,NA,"20240515",7,"Harvest1","19B033P006","1"
"C",20240519,"C027",20,5,NA,"20240515",7,"Harvest1","19B033P006","1"
"C",20240519,"C027",21,4,NA,"20240515",7,"Harvest1","19B033P006","1"
"C",20240519,"C027",22,4,NA,"20240515",8,"Harvest1","05C197P002","1"
"C",20240519,"C027",25,3,NA,"20240515",9,"Harvest1","01C080P602","1"
"C",20240519,"C027",26,3,NA,"20240515",9,"Harvest1","01C080P602","1"
"C",20240519,"C027",27,3,NA,"20240515",9,"Harvest1","01C080P602","1"
"C",20240519,"C027",28,3,NA,"20240515",10,"Harvest1","03C102P002","1"
"C",20240519,"C027",29,3,NA,"20240515",10,"Harvest1","03C102P002","1"
"C",20240519,"C027",30,3,NA,"20240515",10,"Harvest1","03C102P002","1"
"C",20240519,"C021",1,3,NA,"20240515",1,"Harvest1","01C139P002","1"
"C",20240519,"C021",7,5,1,"20240515",3,"Harvest1","PI551422","1"
"C",20240519,"C021",10,5,1,"20240515",4,"Harvest1","75C071P105","1"
"C",20240519,"C021",11,5,NA,"20240515",4,"Harvest1","75C071P105","1"
"C",20240519,"C021",13,4,1,"20240515",5,"Harvest1","65C065P601","1"
"C",20240519,"C021",14,4,1,"20240515",5,"Harvest1","65C065P601","1"
"C",20240519,"C021",15,4,1,"20240515",5,"Harvest1","65C065P601","1"
"C",20240519,"C021",19,5,1,"20240515",7,"Harvest1","93C226P002","1"
"C",20240519,"C021",22,1,NA,"20240515",8,"Harvest1","94C003P011","1"
"C",20240519,"C021",23,3,NA,"20240515",8,"Harvest1","94C003P011","1"
"C",20240519,"C021",24,2,NA,"20240515",8,"Harvest1","94C003P011","1"
"C",20240519,"C021",25,3,NA,"20240515",9,"Harvest1","88C024P603","1"
"C",20240519,"C021",26,4,NA,"20240515",9,"Harvest1","88C024P603","1"
"C",20240519,"C021",27,3,NA,"20240515",9,"Harvest1","88C024P603","1"
"C",20240519,"C021",28,4,NA,"20240515",10,"Harvest1","20B330P092","1"
"C",20240519,"C105",1,4,NA,"20240515",1,"Harvest1","09C103P002","1"
"C",20240519,"C105",2,5,NA,"20240515",1,"Harvest1","09C103P002","1"
"C",20240519,"C105",5,4,NA,"20240515",2,"Harvest1","19B091P078","1"
"C",20240519,"C105",7,3,NA,"20240515",3,"Harvest1","PI551530","1"
"C",20240519,"C105",8,3,NA,"20240515",3,"Harvest1","PI551530","1"
"C",20240519,"C105",10,4,NA,"20240515",4,"Harvest1","PI270464","1"
"C",20240519,"C105",11,4,NA,"20240515",4,"Harvest1","PI270464","1"
"C",20240519,"C105",13,3,NA,"20240515",5,"Harvest1","20C436P035","1"
"C",20240519,"C105",14,3,NA,"20240515",5,"Harvest1","20C436P035","1"
"C",20240519,"C105",15,4,NA,"20240515",5,"Harvest1","20C436P035","1"
"C",20240519,"C105",16,4,NA,"20240515",6,"Harvest1","11C055P004","1"
"C",20240519,"C105",17,3,NA,"20240515",6,"Harvest1","11C055P004","1"
"C",20240519,"C105",19,2,NA,"20240515",7,"Harvest1","12C072P606","1"
"C",20240519,"C105",20,3,NA,"20240515",7,"Harvest1","12C072P606","1"
"C",20240519,"C105",21,3,NA,"20240515",7,"Harvest1","12C072P606","1"
"C",20240519,"C105",22,3,NA,"20240515",8,"Harvest1","12C143P001","1"
"C",20240519,"C105",23,1,NA,"20240515",8,"Harvest1","12C143P001","1"
"C",20240519,"C105",25,4,NA,"20240515",9,"Harvest1","11C153P002","1"
"C",20240519,"C105",26,3,NA,"20240515",9,"Harvest1","11C153P002","1"
"C",20240519,"C105",27,3,NA,"20240515",9,"Harvest1","11C153P002","1"
"C",20240519,"C105",28,3,NA,"20240515",10,"Harvest1","18C430P006","1"
"C",20240519,"C120",1,3,NA,"20240515",1,"Harvest1","17C138P021","1"
"C",20240519,"C120",2,3,NA,"20240515",1,"Harvest1","17C138P021","1"
"C",20240519,"C120",3,4,NA,"20240515",1,"Harvest1","17C138P021","1"
"C",20240519,"C120",4,3,NA,"20240515",2,"Harvest1","16C555P053","1"
"C",20240519,"C120",5,4,NA,"20240515",2,"Harvest1","16C555P053","1"
"C",20240519,"C120",6,3,NA,"20240515",2,"Harvest1","16C555P053","1"
"C",20240519,"C120",7,3,1,"20240515",3,"Harvest1","18C889P804","1"
"C",20240519,"C120",8,5,NA,"20240515",3,"Harvest1","18C889P804","1"
"C",20240519,"C120",9,4,NA,"20240515",3,"Harvest1","18C889P804","1"
