Disease,DatePictureTaken,TrayID,Position,Score,Ryzopus,HarvestDate,BerryLoc,HarvestPeriod,Entry,Block
N,20240519,N054,4,3,NA,20240515,2,Harvest1,12C100P002,1
N,20240519,N054,6,1,1,20240515,2,Harvest1,12C100P002,1
N,20240519,N054,10,1,1,20240515,4,Harvest1,20B251P110,1
N,20240519,N054,13,4,NA,20240515,5,Harvest1,20B258P030,1
N,20240519,N054,14,3,NA,20240515,5,Harvest1,20B258P030,1
N,20240519,N054,15,4,NA,20240515,5,Harvest1,20B258P030,1
N,20240519,N054,19,2,NA,20240515,7,Harvest1,12C183P001,1
N,20240519,N054,22,5,1,20240515,8,Harvest1,12C106P006,1
N,20240519,N054,23,5,NA,20240515,8,Harvest1,12C106P006,1
N,20240519,N054,24,5,1,20240515,8,Harvest1,12C106P006,1
N,20240519,N054,25,1,NA,20240515,9,Harvest1,12C169P003,1
N,20240519,N054,26,2,NA,20240515,9,Harvest1,12C169P003,1
N,20240519,N054,28,3,NA,20240515,10,Harvest1,12C152P002,1
N,20240519,N054,29,2,NA,20240515,10,Harvest1,12C152P002,1
N,20240519,N054,30,4,NA,20240515,10,Harvest1,12C152P002,1
N,20240519,N066,1,2,NA,20240515,1,Harvest1,19C198P021,1
N,20240519,N066,2,1,NA,20240515,1,Harvest1,19C198P021,1
N,20240519,N066,3,1,NA,20240515,1,Harvest1,19C198P021,1
N,20240519,N066,4,3,NA,20240515,2,Harvest1,19C190P016,1
N,20240519,N066,5,1,NA,20240515,2,Harvest1,19C190P016,1
N,20240519,N066,6,1,NA,20240515,2,Harvest1,19C190P016,1
N,20240519,N066,7,4,NA,20240515,3,Harvest1,19C199P016,1
N,20240519,N066,9,3,NA,20240515,3,Harvest1,19C199P016,1
N,20240519,N066,10,2,NA,20240515,4,Harvest1,12C189P001,1
N,20240519,N066,11,2,NA,20240515,4,Harvest1,12C189P001,1
N,20240519,N066,12,1,NA,20240515,4,Harvest1,12C189P001,1
N,20240519,N066,13,2,NA,20240515,5,Harvest1,12C147P002,1
N,20240519,N066,14,2,NA,20240515,5,Harvest1,12C147P002,1
N,20240519,N066,15,2,1,20240515,5,Harvest1,12C147P002,1
N,20240519,N066,16,2,NA,20240515,6,Harvest1,PI551579,1
N,20240519,N066,17,3,NA,20240515,6,Harvest1,PI551579,1
N,20240519,N066,18,5,NA,20240515,6,Harvest1,PI551579,1
N,20240519,N066,19,5,NA,20240515,7,Harvest1,PI551435,1
N,20240519,N066,20,4,1,20240515,7,Harvest1,PI551435,1
N,20240519,N066,22,2,NA,20240515,8,Harvest1,20C926P022,1
N,20240519,N066,23,3,NA,20240515,8,Harvest1,20C926P022,1
N,20240519,N066,24,4,NA,20240515,8,Harvest1,20C926P022,1
N,20240519,N066,25,5,NA,20240515,9,Harvest1,PI551559,1
N,20240519,N066,27,4,1,20240515,9,Harvest1,PI551559,1
N,20240519,N066,28,3,NA,20240515,10,Harvest1,PI551628,1
N,20240519,N066,29,3,NA,20240515,10,Harvest1,PI551628,1
N,20240519,N062,1,1,NA,20240515,1,Harvest1,20C515P026,1
N,20240519,N062,2,2,1,20240515,1,Harvest1,20C515P026,1
N,20240519,N062,7,2,1,20240515,3,Harvest1,20C511P007,1
N,20240519,N062,8,2,NA,20240515,3,Harvest1,20C511P007,1
N,20240519,N062,10,1,NA,20240515,4,Harvest1,61S018P030,1
N,20240519,N062,11,2,NA,20240515,4,Harvest1,61S018P030,1
N,20240519,N062,13,5,NA,20240515,5,Harvest1,57C004P001,1
