RunOrder,Plot,RunDate,Block,Barcode,Firmness.kg,block,Date,HarvestPeriod,Entry,Alias,InstituteName,Species,Organization,Synonym,AcquisitionDate,CountryofOrigin,State,Year,Region
3944,2062,20240606,2,"2062,2,Howard_17,20240606",0.12,2,20240606,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
1735,2062,20240516,2,"2062,2,Howard_17,20240516",0.17,2,20240516,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
428,1172,20240515,1,"1172,1,Howard_17,20240515",0.17,1,20240515,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
3945,2062,20240606,2,"2062,2,Howard_17,20240606",0.18,2,20240606,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
3946,2062,20240606,2,"2062,2,Howard_17,20240606",0.19,2,20240606,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
3379,1172,20240605,1,"1172,1,Howard_17,20240605",0.15,1,20240605,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
1736,2062,20240516,2,"2062,2,Howard_17,20240516",0.16,2,20240516,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
3377,1172,20240605,1,"1172,1,Howard_17,20240605",0.12,1,20240605,Harvest2,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
429,1172,20240515,1,"1172,1,Howard_17,20240515",0.16,1,20240515,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
1734,2062,20240516,2,"2062,2,Howard_17,20240516",0.14,2,20240516,Harvest1,PI551593,Howard_17,"A.B. Howard, Belchertown, Massachusetts",Fragaria x ananassa,UC DAVIS,Howard_17,19090101,Northeastern US,Massachusetts,1909,North America
